img_path,img_label,train_test_split
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/0.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/8.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/16.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/24.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/32.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/40.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/48.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/56.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/64.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_007/72.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/0.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/8.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/17.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/26.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/34.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/43.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/52.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/60.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/69.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_001/78.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/0.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/13.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/27.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/41.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/55.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/69.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/82.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/96.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/110.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_000/124.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_004/0.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_004/4.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_004/8.jpg,dribble,1
/content/drive/MyDrive/capstone/basketball_extract/rgb/images/dribble/dribble_004/12.jpg,dribble,1
